rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,So Cal Blues ECNL G10,So Cal Blues,69520,3,3,0,0,9,3.0,13,1,12
2,MVLA ECNL G10,MVLA,33633,3,3,0,0,9,3.0,14,4,10
3,Slammers FC HB Koge ECNL G10,Slammers FC HB Koge,64905,3,3,0,0,9,3.0,10,1,9
4,SUSA FC ECNL G10,SUSA FC,59680,3,3,0,0,9,3.0,7,1,6
5,FC Dallas ECNL G10,FC Dallas Youth,46266,3,3,0,0,9,3.0,7,2,5
6,Eclipse Select SC ECNL G10,Eclipse Select Soccer Club,69955,3,3,0,0,9,3.0,5,0,5
7,Indiana Fire ECNL G10,Indy Eleven Academy,46996,3,2,0,1,7,2.33,7,2,5
8,Eagles SC ECNL G10,Eagles SC,62045,3,2,0,1,7,2.33,7,2,5
9,DKSC ECNL G10,DKSC,68923,3,2,0,1,7,2.33,8,5,3
10,Beach FC ECNL G10,Beach Futbol Club,18443,3,2,0,1,7,2.33,7,4,3
11,San Diego Surf ECNL G10,San Diego Surf Soccer Club,62104,3,2,1,0,6,2.0,12,5,7
12,Real Colorado National ECNL G10,Real Colorado,69251,3,2,1,0,6,2.0,9,2,7
13,World Class FC ECNL G10,World Class FC,14328,3,2,1,0,6,2.0,12,7,5
14,Penn Fusion SA ECNL G10,Penn Fusion Soccer Academy,59666,3,2,1,0,6,2.0,10,5,5
15,FL Premier FC ECNL G10,Florida Premier FC,69293,3,2,1,0,6,2.0,7,3,4
16,Dallas Texans ECNL G10,Dallas Texans,69269,3,2,1,0,6,2.0,7,4,3
17,Bethesda SC ECNL G10,Bethesda SC,60101,3,2,1,0,6,2.0,6,4,2
18,Charlotte SA ECNL G10,Charlotte Soccer Academy,63697,3,2,1,0,6,2.0,6,5,1
19,GSA ECNL G10,Gwinnett Soccer Academy,68924,3,2,1,0,6,2.0,2,4,-2
20,Solar SC ECNL G10,Solar SC,66050,3,1,0,2,5,1.67,5,1,4
21,LAFC So Cal ECNL G10,LAFC So Cal,65560,3,1,1,1,4,1.33,4,4,0
22,FC Pride Elite ECNL G10,FC Pride,45767,3,1,1,1,4,1.33,2,2,0
23,WNY Flash ECNL G10,WNY Flash Academy,47037,3,1,1,1,4,1.33,10,11,-1
24,Concorde Fire Platinum ECNL G10,Concorde Fire ,68802,3,1,1,1,4,1.33,9,10,-1
25,United Futbol Academy ECNL G10,United Futbol Academy,65981,3,1,1,1,4,1.33,3,8,-5
26,Real Colorado Athletico ECNL G10,Real Colorado,69250,3,1,2,0,3,1.0,5,3,2
27,VA Union ECNL G10,Fairfax Virginia Union,69871,3,1,2,0,3,1.0,6,5,1
28,Mustang SC ECNL G10,Mustang Soccer,18712,3,1,2,0,3,1.0,2,3,-1
29,Internationals SC ECNL G10,Internationals SC,47002,3,1,2,0,3,1.0,8,10,-2
30,San Juan SC ECNL G10,San Juan Soccer Club,32669,3,1,2,0,3,1.0,5,7,-2
31,Arlington Soccer ECNL G10,Arlington Soccer Association,60688,3,1,2,0,3,1.0,2,6,-4
32,FC Prime ECNL G10,Athletic Club Florida,46727,3,1,2,0,3,1.0,2,7,-5
33,Eastside FC ECNL G10,Eastside FC (WA),69451,3,0,1,2,2,0.67,5,7,-2
34,SLSG Navy ECNL G10,St. Louis Scott Gallagher,68758,3,0,2,1,1,0.33,2,6,-4
35,Match Fit Academy ECNL G10,Match Fit Surf,21396,3,0,2,1,1,0.33,5,10,-5
36,FC Stars Blue ECNL G10,FC Stars,46955,3,0,2,1,1,0.33,0,5,-5
37,Seattle United ECNL G10,Seattle United,62229,3,0,2,1,1,0.33,0,5,-5
38,SLSG Green ECNL G10,St. Louis Scott Gallagher,68780,3,0,2,1,1,0.33,5,13,-8
39,VDA ECNL G10,Virginia Development Academy,19656,3,0,3,0,0,0.0,4,8,-4
40,Minnesota Thunder ECNL G10,Minnesota Thunder Academy,69526,3,0,3,0,0,0.0,2,8,-6
41,Michigan Hawks ECNL G10,Michigan Hawks,69108,3,0,3,0,0,0.0,1,8,-7
42,Fairfax BRAVE SC ECNL G10,Fairfax Virginia Union,68366,3,0,3,0,0,0.0,7,15,-8
43,Atlanta Fire United ECNL G10,Atlanta Fire United,67127,3,0,3,0,0,0.0,3,15,-12
44,Boise Thorns FC ECNL G10,Boise Timbers | Thorns,69320,3,0,3,0,0,0.0,0,15,-15
