rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd,division,flight
1,Eclipse Select SC ECNL GU18/U19,Eclipse Select Soccer Club,6889,9,9,0,0,27,3.0,44,5,39,GU18/U19,ECNL
2,SLSG Navy ECNL GU18/U19,St. Louis Scott Gallagher,6922,8,7,1,0,21,2.63,23,7,16,GU18/U19,ECNL
3,Kansas City Athletics ECNL GU18/U19,KC Athletics,19379,10,6,2,2,20,2.0,22,12,10,GU18/U19,ECNL
4,Michigan Hawks ECNL GU18/U19,Michigan Hawks,19899,10,5,3,2,17,1.7,20,15,5,GU18/U19,ECNL
5,Minnesota Thunder ECNL GU18/U19,No Club Selection,6904,7,3,3,1,10,1.43,10,12,-2,GU18/U19,ECNL
6,Vardar ECNL GU18/U19,Vardar,6936,10,4,4,2,14,1.4,14,22,-8,GU18/U19,ECNL
7,SLSG White ECNL GU18/U19,St. Louis Scott Gallagher,6933,8,2,3,3,9,1.13,10,15,-5,GU18/U19,ECNL
8,Gretna Elite Academy ECNL GU18/U19,No Club Selection,10866,10,2,5,3,9,0.9,12,21,-9,GU18/U19,ECNL
9,Eclipse Select SC North ECNL GU18/U19,Eclipse Select Soccer Club,20191,7,1,5,1,4,0.57,10,20,-10,GU18/U19,ECNL
10,Michigan Hawks Magic ECNL GU18/U19,Michigan Hawks,6903,10,1,7,2,5,0.5,8,30,-22,GU18/U19,ECNL
11,FC Wisconsin ECNL GU18/U19,FC Wisconsin Girls,6895,9,0,7,2,2,0.22,6,20,-14,GU18/U19,ECNL
